method,metric,metric_label,mean_nmae,sample_sd,source_type
ReMST base,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
ReMST base,blur_moderate,Blur-M,0.007847554737761537,0.00034424942510428216,three_seed_evaluation
ReMST base,blur_severe,Blur-S,0.00812773755974581,0.0004093477768952991,three_seed_evaluation
ReMST base,perspective_moderate,Persp.-25,0.011321907157677521,0.00041574205905455024,three_seed_evaluation
ReMST base,perspective_severe,Persp.-45,0.01608322925154256,0.0006340303737853073,three_seed_evaluation
ReMST base,combined_severe,45 + blur,0.018456820030274417,0.0006666574271670422,three_seed_evaluation
ReMST base,all_conditions,All six,0.011610993094679058,0.0004242668906154527,three_seed_evaluation
ReMST base,projective_pooled,Projective pool,0.015287318813164833,0.000568689096885287,three_seed_evaluation
Mean-risk RCMT,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
Mean-risk RCMT,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,three_seed_evaluation
Mean-risk RCMT,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,three_seed_evaluation
Mean-risk RCMT,perspective_moderate,Persp.-25,0.010349918283389839,0.00032481676754104923,three_seed_evaluation
Mean-risk RCMT,perspective_severe,Persp.-45,0.013628075067890932,0.000509655868700442,three_seed_evaluation
Mean-risk RCMT,combined_severe,45 + blur,0.015808416547582034,0.0007296994380528664,three_seed_evaluation
Mean-risk RCMT,all_conditions,All six,0.010598402004573779,0.0004228168469266173,three_seed_evaluation
Mean-risk RCMT,projective_pooled,Projective pool,0.013262136632954271,0.0005208306814905426,three_seed_evaluation
Tail-risk specialist,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
Tail-risk specialist,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,three_seed_evaluation
Tail-risk specialist,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,three_seed_evaluation
Tail-risk specialist,perspective_moderate,Persp.-25,0.010385637773756914,0.00020587704207981205,three_seed_evaluation
Tail-risk specialist,perspective_severe,Persp.-45,0.013758800810532832,0.00043535437867520463,three_seed_evaluation
Tail-risk specialist,combined_severe,45 + blur,0.01590936967335052,0.000595076116408388,three_seed_evaluation
Tail-risk specialist,all_conditions,All six,0.010642968397703354,0.00037340739694786474,three_seed_evaluation
Tail-risk specialist,projective_pooled,Projective pool,0.013351269419213422,0.0004120157841714178,three_seed_evaluation
Combined-risk specialist,clean,Clean,0.007828709831072513,0.0003422909883882643,three_seed_evaluation
Combined-risk specialist,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,three_seed_evaluation
Combined-risk specialist,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,three_seed_evaluation
