metric,metric_label,risk_group,method,mean_nmae,sample_sd,mean_coverage,r2mt_relative_reduction_percent,r2mt_paired_reduction_pp,ci95_low_pp,ci95_high_pp,ci95_excludes_zero,bootstrap_probability_positive,rows_per_seed,source_samples,source_groups,n_seeds,bootstrap_replicates,bootstrap_unit
clean,Clean,non-projective,R²MT-Net,0.18732145543411546,0.023001204097309214,1.0,0.0,,,,,,1395,1395,52,3,20000,complete physical instrument group
clean,Clean,non-projective,Direct-ResNet18,0.18672753923992946,0.02207053972207373,1.0,-0.31806566755151594,-0.05939161941860115,-0.14040992704884683,0.023344570979396594,False,0.0787,1395,1395,52,3,20000,complete physical instrument group
clean,Clean,non-projective,EfficientNet-B0,0.12304646084093207,0.02171382600909881,1.0,-52.23636190257815,-6.427499459318339,-10.184760764472731,-2.8293288458172796,True,0.0001,1395,1395,52,3,20000,complete physical instrument group
clean,Clean,non-projective,MobileNetV3-Large,0.14444358056142959,0.027865404693849283,1.0,-29.684860141258124,-4.287787487268587,-7.6188832362821906,-1.2582285484359268,True,0.0019,1395,1395,52,3,20000,complete physical instrument group
blur_moderate,Blur-M,non-projective,R²MT-Net,0.18825851496535081,0.024209341615493377,1.0,0.0,,,,,,1395,1395,52,3,20000,complete physical instrument group
blur_moderate,Blur-M,non-projective,Direct-ResNet18,0.18777677165258755,0.023093564554215355,1.0,-0.2565510678043591,-0.04817433127632707,-0.13296844311272848,0.03523822773378099,False,0.12665,1395,1395,52,3,20000,complete physical instrument group
blur_moderate,Blur-M,non-projective,EfficientNet-B0,0.12259737199571197,0.021825675537989395,1.0,-53.55836091815691,-6.566114296963884,-10.427275093246049,-2.8578842220509673,True,0.0001,1395,1395,52,3,20000,complete physical instrument group
blur_moderate,Blur-M,non-projective,MobileNetV3-Large,0.14325635573210924,0.027747626507519024,1.0,-31.41372611585628,-4.500215923324159,-7.8868641584845385,-1.4427317393997727,True,0.0013,1395,1395,52,3,20000,complete physical instrument group
blur_severe,Blur-S,non-projective,R²MT-Net,0.194752397965398,0.02837302273963209,1.0,0.0,,,,,,1395,1395,52,3,20000,complete physical instrument group
blur_severe,Blur-S,non-projective,Direct-ResNet18,0.19452557878037735,0.02676033869761834,1.0,-0.11660121329171695,-0.022681918502067553,-0.10846524489686342,0.06391793938988906,False,0.29495,1395,1395,52,3,20000,complete physical instrument group
