metric,metric_label,method,mean_nmae,sample_sd,n_images,n_scene_groups,n_seeds,evidence_status
clean,Clean,Direct-ResNet18,0.00790966684158473,0.00041143900608685296,1558,14,3,completed matched external ledger
clean,Clean,EfficientNet-B0,0.008099387948644444,0.0003227390754344045,1558,14,3,completed matched external ledger
clean,Clean,MobileNetV3-Large,0.00935514624597056,0.0004348498812925855,1558,14,3,completed matched external ledger
clean,Clean,ReMST base,0.007828709831072513,0.0003422909883882643,1558,14,3,completed internal base
clean,Clean,R2MT-Net,0.007828709831072513,0.0003422909883882643,1558,14,3,completed retrospective development evaluation
blur_moderate,Blur-M,Direct-ResNet18,0.007931632864072008,0.0003965626601610499,1558,14,3,completed matched external ledger
blur_moderate,Blur-M,EfficientNet-B0,0.008064291611385489,0.0003382173531921958,1558,14,3,completed matched external ledger
blur_moderate,Blur-M,MobileNetV3-Large,0.00942085361384497,0.0004887327800401045,1558,14,3,completed matched external ledger
blur_moderate,Blur-M,ReMST base,0.007847554737761537,0.00034424942510428216,1558,14,3,completed internal base
blur_moderate,Blur-M,R2MT-Net,0.007847554737761537,0.0003442494251042821,1558,14,3,completed retrospective development evaluation
blur_severe,Blur-S,Direct-ResNet18,0.008206954755019345,0.0004203672739855258,1558,14,3,completed matched external ledger
blur_severe,Blur-S,EfficientNet-B0,0.008281850217260434,0.0004715530721063253,1558,14,3,completed matched external ledger
blur_severe,Blur-S,MobileNetV3-Large,0.009806543560745956,0.0003846220588129364,1558,14,3,completed matched external ledger
blur_severe,Blur-S,ReMST base,0.00812773755974581,0.0004093477768952991,1558,14,3,completed internal base
blur_severe,Blur-S,R2MT-Net,0.00812773755974581,0.000409347776895299,1558,14,3,completed retrospective development evaluation
perspective_moderate,Persp.-25,Direct-ResNet18,0.01442189871503361,0.0003430977329287518,1558,14,3,completed matched external ledger
perspective_moderate,Persp.-25,EfficientNet-B0,0.014177060769532924,0.0006067748314745434,1558,14,3,completed matched external ledger
perspective_moderate,Persp.-25,MobileNetV3-Large,0.01625545151785497,0.0004892941869354417,1558,14,3,completed matched external ledger
perspective_moderate,Persp.-25,ReMST base,0.011321907157677521,0.00041574205905455024,1558,14,3,completed internal base
perspective_moderate,Persp.-25,R2MT-Net,0.010295174689572356,0.00023966352119975283,1558,14,3,completed retrospective development evaluation
perspective_severe,Persp.-45,Direct-ResNet18,0.024301887497754398,0.0003979207873557405,1558,14,3,completed matched external ledger
perspective_severe,Persp.-45,EfficientNet-B0,0.021577787856546876,0.0009677260727890389,1558,14,3,completed matched external ledger
perspective_severe,Persp.-45,MobileNetV3-Large,0.025583720088483964,0.001961509371568032,1558,14,3,completed matched external ledger
perspective_severe,Persp.-45,ReMST base,0.01608322925154256,0.0006340303737853073,1558,14,3,completed internal base
perspective_severe,Persp.-45,R2MT-Net,0.013415081318689548,0.0005099626899028582,1558,14,3,completed retrospective development evaluation
combined_severe,45 + blur,Direct-ResNet18,0.02621903077524061,0.0005643129906351299,1558,14,3,completed matched external ledger
combined_severe,45 + blur,EfficientNet-B0,0.023411349174969977,0.0009954848513717253,1558,14,3,completed matched external ledger
combined_severe,45 + blur,MobileNetV3-Large,0.02758871264205884,0.0016640850241868626,1558,14,3,completed matched external ledger
combined_severe,45 + blur,ReMST base,0.018456820030274417,0.0006666574271670422,1558,14,3,completed internal base
combined_severe,45 + blur,R2MT-Net,0.015587018327309661,0.0007570317022235438,1558,14,3,completed retrospective development evaluation
all_conditions,All six,Direct-ResNet18,0.014831845241450781,0.00034553714229504536,1558,14,3,completed matched external ledger
all_conditions,All six,EfficientNet-B0,0.013935287929723358,0.0006060917280430783,1558,14,3,completed matched external ledger
all_conditions,All six,MobileNetV3-Large,0.01633507127815988,0.0007164381126039183,1558,14,3,completed matched external ledger
all_conditions,All six,ReMST base,0.011610993094679058,0.0004242668906154527,1558,14,3,completed internal base
all_conditions,All six,R2MT-Net,0.010516879410691904,0.0004145435257706873,1558,14,3,completed retrospective development evaluation
projective_pooled,Projective pool,Direct-ResNet18,0.021647605662676206,0.0004350381116296811,1558,14,3,completed matched external ledger
projective_pooled,Projective pool,EfficientNet-B0,0.019722065933683263,0.0008517820650587835,1558,14,3,completed matched external ledger
projective_pooled,Projective pool,MobileNetV3-Large,0.023142628082799262,0.0013610029304334398,1558,14,3,completed matched external ledger
projective_pooled,Projective pool,ReMST base,0.015287318813164833,0.000568689096885287,1558,14,3,completed internal base
projective_pooled,Projective pool,R2MT-Net,0.013099091445190522,0.0005014180578064028,1558,14,3,completed retrospective development evaluation
