route,metric,metric_label,mean_nmae,sample_sd,adaptive_strength,status,formal_holdout_access
fixed,clean,Clean,0.007828709831072513,0.00034229098838826384,0.0,retrospective_development_probe,False
adaptive,clean,Clean,0.007828709831072513,0.0003422909883882643,1.0,retrospective_development_probe,False
conservative,clean,Clean,0.007828709831072513,0.0003422909883882643,0.5,retrospective_development_probe,False
fixed,blur_moderate,Blur-M,0.007847554737761539,0.0003442494251042817,0.0,retrospective_development_probe,False
adaptive,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,1.0,retrospective_development_probe,False
conservative,blur_moderate,Blur-M,0.007847554737761537,0.0003442494251042821,0.5,retrospective_development_probe,False
fixed,blur_severe,Blur-S,0.00812773755974581,0.0004093477768952992,0.0,retrospective_development_probe,False
adaptive,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,1.0,retrospective_development_probe,False
conservative,blur_severe,Blur-S,0.00812773755974581,0.000409347776895299,0.5,retrospective_development_probe,False
fixed,perspective_moderate,Persp.-25,0.01030044431402403,0.00025678416112653277,0.0,retrospective_development_probe,False
adaptive,perspective_moderate,Persp.-25,0.010291235864640426,0.0002224218447459755,1.0,retrospective_development_probe,False
conservative,perspective_moderate,Persp.-25,0.010294939272697817,0.00023956625721171078,0.5,retrospective_development_probe,False
fixed,perspective_severe,Persp.-45,0.013423453303571198,0.0004982884669668961,0.0,retrospective_development_probe,False
adaptive,perspective_severe,Persp.-45,0.013418549621614697,0.0005263469023642155,1.0,retrospective_development_probe,False
conservative,perspective_severe,Persp.-45,0.013414228432746289,0.000509234885397503,0.5,retrospective_development_probe,False
fixed,combined_severe,45 + blur,0.015591919903790072,0.0007512523498169808,0.0,retrospective_development_probe,False
adaptive,combined_severe,45 + blur,0.015594776180599193,0.0007606164962783837,1.0,retrospective_development_probe,False
conservative,combined_severe,45 + blur,0.015586201408293261,0.0007562203456969403,0.5,retrospective_development_probe,False
fixed,all_conditions,All six,0.01051996994166086,0.0004133627761146655,0.0,retrospective_development_probe,False
adaptive,all_conditions,All six,0.010518093965905695,0.0004161242441711419,1.0,retrospective_development_probe,False
conservative,all_conditions,All six,0.010516561873719537,0.0004142793678757488,0.5,retrospective_development_probe,False
fixed,projective_pooled,Projective pool,0.013105272507128432,0.0005009490754125485,0.0,retrospective_development_probe,False
adaptive,projective_pooled,Projective pool,0.013101520555618106,0.0005025807829690183,1.0,retrospective_development_probe,False
conservative,projective_pooled,Projective pool,0.01309845637124579,0.0005008704802446537,0.5,retrospective_development_probe,False
